,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Unnamed: 109
180988,2015,4,12,20,7,2015-12-20,AA,19805,AA,N507AY,1757,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,59,59.0,0.0,0.0,0.0,0.0,0001-0559,16.0,115.0,642.0,6.0,652,648.0,-4.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,233.0,229.0,207.0,1.0,1849.0,8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438009,2015,4,12,3,4,2015-12-03,UA,19977,UA,N33286,635,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,905,903.0,-2.0,0.0,0.0,-1.0,0900-0959,13.0,916.0,1103.0,9.0,1143,1112.0,-31.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,278.0,249.0,227.0,1.0,1721.0,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240633,2015,4,12,6,7,2015-12-06,MQ,20398,MQ,N665MQ,3088,14783,1478302,34783,SGF,"Springfield, MO",MO,29,Missouri,64,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1542,1554.0,12.0,12.0,0.0,0.0,1500-1559,12.0,1606.0,1718.0,15.0,1726,1733.0,7.0,7.0,0.0,0.0,1700-1759,0.0,,0.0,104.0,99.0,72.0,1.0,438.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247156,2015,4,12,21,1,2015-12-21,MQ,20398,MQ,N907MQ,3306,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10627,1062702,30627,BIS,"Bismarck/Mandan, ND",ND,38,North Dakota,66,1830,1831.0,1.0,1.0,0.0,0.0,1800-1859,20.0,1851.0,2107.0,3.0,2121,2110.0,-11.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,171.0,159.0,136.0,1.0,977.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412354,2015,4,12,14,1,2015-12-14,WN,19393,WN,N201LV,2980,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,14831,1483103,32457,SJC,"San Jose, CA",CA,6,California,91,1705,1705.0,0.0,0.0,0.0,0.0,1700-1759,12.0,1717.0,1812.0,3.0,1810,1815.0,5.0,5.0,0.0,0.0,1800-1859,0.0,,0.0,65.0,70.0,55.0,1.0,308.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68748,2015,4,12,7,1,2015-12-07,EV,20366,EV,N880AS,2815,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,12448,1244805,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53,1050,1044.0,-6.0,0.0,0.0,-1.0,1000-1059,17.0,1101.0,1200.0,3.0,1213,1203.0,-10.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,83.0,79.0,59.0,1.0,408.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289719,2015,4,12,22,2,2015-12-22,OO,20304,OO,N608SK,4725,15041,1504102,35041,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,16,Idaho,83,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,1759,2005.0,126.0,126.0,1.0,8.0,1700-1759,5.0,2010.0,2047.0,6.0,1901,2053.0,112.0,112.0,1.0,7.0,1900-1959,0.0,,0.0,62.0,48.0,37.0,1.0,222.0,1,0.0,0.0,0.0,0.0,112.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268264,2015,4,12,6,7,2015-12-06,NK,20416,NK,N659NK,936,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,10158,1015804,30158,ACY,"Atlantic City, NJ",NJ,34,New Jersey,21,958,949.0,-9.0,0.0,0.0,-1.0,0900-0959,7.0,956.0,1158.0,3.0,1215,1201.0,-14.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,137.0,132.0,122.0,1.0,982.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273117,2015,4,12,17,4,2015-12-17,OO,20304,OO,N906SW,2961,16218,1621801,33785,YUM,"Yuma, AZ",AZ,4,Arizona,81,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1255,1245.0,-10.0,0.0,0.0,-1.0,1200-1259,6.0,1251.0,1319.0,8.0,1353,1327.0,-26.0,0.0,0.0,-2.0,1300-1359,0.0,,0.0,58.0,42.0,28.0,1.0,160.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159248,2015,4,12,5,6,2015-12-05,AA,19805,AA,N3GJAA,2616,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12478,1247803,31703,JFK,"New York, NY",NY,36,New York,22,1800,1752.0,-8.0,0.0,0.0,-1.0,1800-1859,13.0,1805.0,1846.0,9.0,1924,1855.0,-29.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,84.0,63.0,41.0,1.0,187.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451396,2015,4,12,26,6,2015-12-26,WN,19393,WN,N230WN,6179,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,935,931.0,-4.0,0.0,0.0,-1.0,0900-0959,7.0,938.0,1020.0,6.0,1050,1026.0,-24.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,135.0,115.0,102.0,1.0,775.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134856,2015,4,12,13,7,2015-12-13,AA,19805,AA,N3CGAA,1126,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,710,708.0,-2.0,0.0,0.0,-1.0,0700-0759,18.0,726.0,1209.0,15.0,1236,1224.0,-12.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,206.0,196.0,163.0,1.0,1431.0,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19147,2015,4,12,13,7,2015-12-13,DL,19790,DL,N918DH,1562,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,2205,2200.0,-5.0,0.0,0.0,-1.0,2200-2259,19.0,2219.0,2314.0,3.0,2344,2317.0,-27.0,0.0,0.0,-2.0,2300-2359,0.0,,0.0,159.0,137.0,115.0,1.0,907.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42510,2015,4,12,21,1,2015-12-21,DL,19790,DL,N353NW,2594,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,830,825.0,-5.0,0.0,0.0,-1.0,0800-0859,17.0,842.0,1038.0,8.0,1120,1046.0,-34.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,290.0,261.0,236.0,1.0,1620.0,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93896,2015,4,12,8,2,2015-12-08,EV,20366,EV,N135EV,5293,12448,1244805,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,909,903.0,-6.0,0.0,0.0,-1.0,0900-0959,11.0,914.0,1109.0,7.0,1130,1116.0,-14.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,81.0,73.0,55.0,1.0,341.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101822,2015,4,12,4,5,2015-12-04,EV,20366,EV,N12175,5994,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10599,1059904,30599,BHM,"Birmingham, AL",AL,1,Alabama,51,1220,1216.0,-4.0,0.0,0.0,-1.0,1200-1259,39.0,1255.0,1420.0,8.0,1411,1428.0,17.0,17.0,1.0,1.0,1400-1459,0.0,,0.0,111.0,132.0,85.0,1.0,584.0,3,0.0,0.0,17.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99588,2015,4,12,19,6,2015-12-19,EV,20366,EV,N131EV,5531,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11775,1177502,31775,FSD,"Sioux Falls, SD",SD,46,South Dakota,67,1957,1951.0,-6.0,0.0,0.0,-1.0,1900-1959,18.0,2009.0,2140.0,8.0,2144,2148.0,4.0,4.0,0.0,0.0,2100-2159,0.0,,0.0,167.0,177.0,151.0,1.0,954.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357693,2015,4,12,2,3,2015-12-02,UA,19977,UA,N805UA,203,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,916,916.0,0.0,0.0,0.0,0.0,0900-0959,19.0,935.0,1030.0,9.0,1050,1039.0,-11.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,94.0,83.0,55.0,1.0,334.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91688,2015,4,12,16,3,2015-12-16,EV,20366,EV,N607LR,5143,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,550,548.0,-2.0,0.0,0.0,-1.0,0001-0559,13.0,601.0,737.0,8.0,754,745.0,-9.0,0.0,0.0,-1.0,0700-0759,0.0,,0.0,124.0,117.0,96.0,1.0,529.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462474,2015,4,12,7,1,2015-12-07,WN,19393,WN,N794SW,1794,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,845,904.0,19.0,19.0,1.0,1.0,0800-0859,7.0,911.0,1405.0,4.0,1355,1409.0,14.0,14.0,0.0,0.0,1300-1359,0.0,,0.0,190.0,185.0,174.0,1.0,1363.0,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373901,2015,4,12,24,4,2015-12-24,OO,20304,OO,N959SW,6255,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1335,1331.0,-4.0,0.0,0.0,-1.0,1300-1359,18.0,1349.0,1415.0,7.0,1423,1422.0,-1.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,108.0,111.0,86.0,1.0,495.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46706,2015,4,12,26,6,2015-12-26,DL,19790,DL,N947AT,1767,11721,1172103,31721,FNT,"Flint, MI",MI,26,Michigan,43,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1205,1209.0,4.0,4.0,0.0,0.0,1200-1259,8.0,1217.0,1408.0,8.0,1420,1416.0,-4.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,135.0,127.0,111.0,1.0,645.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91023,2015,4,12,18,5,2015-12-18,EV,20366,EV,N926EV,5161,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,15607,1560702,35550,VLD,"Valdosta, GA",GA,13,Georgia,34,1453,1444.0,-9.0,0.0,0.0,-1.0,1400-1459,18.0,1502.0,1536.0,3.0,1555,1539.0,-16.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,62.0,55.0,34.0,1.0,208.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57822,2015,4,12,30,3,2015-12-30,DL,19790,DL,N959DN,1858,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,1000,1223.0,143.0,143.0,1.0,9.0,1000-1059,23.0,1246.0,1353.0,3.0,1138,1356.0,138.0,138.0,1.0,9.0,1100-1159,0.0,,0.0,158.0,153.0,127.0,1.0,813.0,4,0.0,49.0,0.0,0.0,89.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274689,2015,4,12,18,5,2015-12-18,OO,20304,OO,N174SY,3439,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,1635,1622.0,-13.0,0.0,0.0,-1.0,1600-1659,12.0,1634.0,1838.0,4.0,1903,1842.0,-21.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,268.0,260.0,244.0,1.0,1715.0,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47443,2015,4,12,19,6,2015-12-19,DL,19790,DL,N394DL,431,12478,1247803,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,1345,1350.0,5.0,5.0,0.0,0.0,1300-1359,14.0,1404.0,1656.0,5.0,1720,1701.0,-19.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,395.0,371.0,352.0,1.0,2475.0,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457743,2015,4,12,27,7,2015-12-27,WN,19393,WN,N7701B,822,13342,1334205,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64,715,752.0,37.0,37.0,1.0,2.0,0700-0759,11.0,803.0,859.0,5.0,845,904.0,19.0,19.0,1.0,1.0,0800-0859,0.0,,0.0,90.0,72.0,56.0,1.0,317.0,2,19.0,0.0,0.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125512,2015,4,12,11,5,2015-12-11,AA,19805,AA,N3JSAA,316,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,14843,1484304,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,2134,2135.0,1.0,1.0,0.0,0.0,2100-2159,23.0,2158.0,104.0,5.0,114,109.0,-5.0,0.0,0.0,-1.0,0001-0559,0.0,,0.0,160.0,154.0,126.0,1.0,1045.0,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335967,2015,4,12,18,5,2015-12-18,UA,19977,UA,N855UA,720,13256,1325602,33256,MFE,"Mission/McAllen/Edinburg, TX",TX,48,Texas,74,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,1052,1049.0,-3.0,0.0,0.0,-1.0,1000-1059,10.0,1059.0,1154.0,4.0,1210,1158.0,-12.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,78.0,69.0,55.0,1.0,316.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292864,2015,4,12,10,4,2015-12-10,OO,20304,OO,N762SK,4982,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2006,2004.0,-2.0,0.0,0.0,-1.0,2000-2059,16.0,2020.0,43.0,15.0,107,58.0,-9.0,0.0,0.0,-1.0,0001-0559,0.0,,0.0,181.0,174.0,143.0,1.0,1235.0,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90667,2015,4,12,22,2,2015-12-22,EV,20366,EV,N724EV,4995,14100,1410002,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,942,943.0,1.0,1.0,0.0,0.0,0900-0959,18.0,1001.0,1126.0,5.0,1130,1131.0,1.0,1.0,0.0,0.0,1100-1159,0.0,,0.0,108.0,108.0,85.0,1.0,453.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469297,2015,4,12,28,1,2015-12-28,WN,19393,WN,N480WN,2034,14831,1483103,32457,SJC,"San Jose, CA",CA,6,California,91,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,1630,1640.0,10.0,10.0,0.0,0.0,1600-1659,8.0,1648.0,1747.0,4.0,1745,1751.0,6.0,6.0,0.0,0.0,1700-1759,0.0,,0.0,75.0,71.0,59.0,1.0,417.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63919,2015,4,12,30,3,2015-12-30,EV,20366,EV,N672AE,2778,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,15624,1562402,31504,VPS,"Valparaiso, FL",FL,12,Florida,33,1330,1352.0,22.0,22.0,1.0,1.0,1300-1359,18.0,1410.0,1532.0,5.0,1521,1537.0,16.0,16.0,1.0,1.0,1500-1559,0.0,,0.0,111.0,105.0,82.0,1.0,641.0,3,16.0,0.0,0.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74839,2015,4,12,21,1,2015-12-21,EV,20366,EV,N11181,4408,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10469,1046902,30469,AZO,"Kalamazoo, MI",MI,26,Michigan,43,2052,2050.0,-2.0,0.0,0.0,-1.0,2000-2059,46.0,2136.0,2301.0,5.0,2252,2306.0,14.0,14.0,0.0,0.0,2200-2259,0.0,,0.0,60.0,76.0,25.0,1.0,122.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316199,2015,4,12,31,4,2015-12-31,OO,20304,OO,N783CA,7365,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,10141,1014103,30141,ABR,"Aberdeen, SD",SD,46,South Dakota,67,1745,1857.0,72.0,72.0,1.0,4.0,1700-1759,13.0,1910.0,1954.0,4.0,1913,1958.0,45.0,45.0,1.0,3.0,1900-1959,0.0,,0.0,88.0,61.0,44.0,1.0,257.0,2,0.0,0.0,0.0,0.0,45.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144858,2015,4,12,5,6,2015-12-05,AA,19805,AA,N3JAAA,1568,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,1348,1345.0,-3.0,0.0,0.0,-1.0,1300-1359,17.0,1402.0,1509.0,7.0,1521,1516.0,-5.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,93.0,91.0,67.0,1.0,460.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98275,2015,4,12,26,6,2015-12-26,EV,20366,EV,N937EV,5437,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10208,1020803,30208,AGS,"Augusta, GA",GA,13,Georgia,34,2216,2212.0,-4.0,0.0,0.0,-1.0,2200-2259,23.0,2235.0,2304.0,3.0,2309,2307.0,-2.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,53.0,55.0,29.0,1.0,143.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56340,2015,4,12,28,1,2015-12-28,DL,19790,DL,N338NB,1243,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,735,742.0,7.0,7.0,0.0,0.0,0700-0759,12.0,754.0,902.0,7.0,903,909.0,6.0,6.0,0.0,0.0,0900-0959,0.0,,0.0,148.0,147.0,128.0,1.0,731.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384969,2015,4,12,5,6,2015-12-05,WN,19393,WN,N724SW,3695,10994,1099402,30994,CHS,"Charleston, SC",SC,45,South Carolina,37,10821,1082103,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1050,1058.0,8.0,8.0,0.0,0.0,1000-1059,12.0,1110.0,1215.0,3.0,1215,1218.0,3.0,3.0,0.0,0.0,1200-1259,0.0,,0.0,85.0,80.0,65.0,1.0,472.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145524,2015,4,12,15,2,2015-12-15,AA,19805,AA,N3BBAA,2187,10529,1052904,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,610,607.0,-3.0,0.0,0.0,-1.0,0600-0659,17.0,624.0,916.0,17.0,932,933.0,1.0,1.0,0.0,0.0,0900-0959,0.0,,0.0,262.0,266.0,232.0,1.0,1471.0,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183449,2015,4,12,27,7,2015-12-27,AA,19805,AA,N769US,699,11278,1127803,30852,DCA,"Washington, DC",VA,51,Virginia,38,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1515,1531.0,16.0,16.0,1.0,1.0,1500-1559,29.0,1600.0,1653.0,4.0,1647,1657.0,10.0,10.0,0.0,0.0,1600-1659,0.0,,0.0,92.0,86.0,53.0,1.0,331.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269593,2015,4,12,19,6,2015-12-19,OO,20304,OO,N864AS,2938,12278,1227803,30928,ICT,"Wichita, KS",KS,20,Kansas,62,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1730,1722.0,-8.0,0.0,0.0,-1.0,1700-1759,14.0,1736.0,1856.0,11.0,1933,1907.0,-26.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,123.0,105.0,80.0,1.0,588.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
